language,arity
English,3
English,5
English,6
English,6
English,4
English,4
English,3
English,4
English,1
English,6
English,3
English,3
English,3
English,3
English,3
English,2
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,1
English,4
English,3
English,5
English,4
English,4
English,4
English,3
English,3
English,4
English,2
English,0
English,5
English,4
English,5
English,3
English,2
English,3
English,6
English,5
English,4
English,3
English,2
English,2
English,2
English,4
English,5
English,2
English,2
English,1
English,5
English,2
English,1
English,4
English,5
English,6
English,3
English,0
English,2
English,4
English,8
English,4
English,5
English,4
English,4
English,3
English,3
English,3
English,4
English,4
English,2
English,4
English,2
English,4
English,5
English,4
English,3
English,7
English,4
English,5
English,3
English,4
English,6
English,4
English,2
English,4
English,5
English,0
English,6
English,4
English,2
English,6
English,3
English,6
English,5
English,6
English,5
English,6
English,8
English,4
English,4
English,4
English,0
English,4
English,4
English,0
English,0
English,0
English,6
English,4
English,2
English,4
English,0
English,6
English,5
English,3
English,4
English,4
English,5
English,3
English,4
English,5
English,5
English,4
English,3
English,4
English,5
English,3
English,0
English,4
English,0
English,5
English,2
English,1
English,1
English,3
English,5
English,1
English,5
English,2
English,7
English,4
English,4
English,1
English,0
English,3
English,4
English,1
English,4
English,5
English,5
English,4
English,3
English,5
English,3
English,2
English,6
English,5
English,6
English,4
English,3
English,5
English,3
English,2
English,5
English,3
English,5
English,5
English,2
English,4
English,4
English,5
English,5
English,5
English,5
English,4
English,5
English,4
English,7
English,4
English,5
English,5
English,5
English,4
English,5
English,5
English,4
English,6
English,4
English,0
English,4
English,4
English,4
English,4
English,3
English,4
English,3
English,2
English,6
English,6
English,4
English,2
English,0
English,0
English,0
English,0
English,6
English,2
English,3
English,5
English,4
English,2
English,4
English,4
English,4
English,4
English,4
English,6
English,6
English,7
English,0
English,4
English,4
English,4
English,0
English,1
English,4
English,1
English,1
English,6
English,3
English,0
English,7
English,5
English,1
English,0
English,4
English,5
English,1
English,3
English,4
English,2
English,5
English,4
English,3
English,4
English,6
English,2
English,1
English,5
English,0
English,3
English,0
English,4
English,1
English,4
English,5
English,4
English,4
English,5
English,4
English,4
English,0
English,7
English,2
English,6
English,4
English,4
English,1
English,1
English,6
English,6
English,3
English,3
English,0
English,0
English,5
English,4
English,1
English,5
English,5
English,4
English,4
English,4
English,7
English,4
English,0
English,5
English,6
English,0
English,3
English,2
English,7
English,1
English,3
English,1
English,5
English,7
English,6
English,4
English,1
English,5
English,4
English,6
English,6
English,7
English,6
English,4
English,5
English,7
English,3
English,3
English,3
English,6
English,6
English,5
English,5
English,6
English,4
English,6
English,4
English,5
English,4
English,4
English,6
English,4
English,5
English,4
English,4
English,5
English,5
English,6
English,4
English,3
English,5
English,5
English,5
English,5
English,3
English,6
English,5
English,6
English,6
English,5
English,5
English,4
English,5
English,5
English,4
English,4
English,6
English,6
English,4
English,5
English,4
English,5
English,6
English,6
English,4
English,3
English,3
English,5
English,4
English,6
English,5
English,6
English,3
English,5
English,1
English,6
English,4
English,5
English,4
English,4
English,3
English,3
English,5
English,7
English,6
English,3
English,7
English,5
English,4
English,6
English,4
English,5
English,4
English,3
English,3
English,2
English,6
English,5
English,4
English,6
English,4
English,4
English,5
English,6
English,5
English,1
English,7
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,0
English,3
English,3
English,1
English,1
English,0
English,2
English,1
English,0
English,1
English,3
English,4
English,1
English,1
English,5
English,2
English,0
English,4
English,0
English,1
English,2
English,4
English,0
English,4
English,0
English,0
English,0
English,6
English,1
English,3
English,2
English,1
English,0
English,1
English,2
English,3
English,0
English,1
English,2
English,6
English,4
English,0
English,1
English,1
English,4
English,0
English,1
English,3
English,5
English,0
English,1
English,1
English,2
English,4
English,1
English,1
English,3
English,2
English,5
English,4
English,3
English,3
English,3
English,2
English,4
English,5
English,4
English,4
English,2
English,4
English,5
English,4
English,5
English,2
English,3
English,4
English,0
English,1
English,4
English,2
English,5
English,2
English,3
English,4
English,0
