language,real_arity,random_arity,real_depth,random_depth
English,3,4,3,4
English,4,3,4,3
English,4,3,2,5
English,6,2,3,6
English,3,3,5,5
English,4,3,2,3
English,3,2,1,2
English,3,3,4,3
English,1,1,1,1
English,4,3,4,5
English,3,2,2,3
English,3,2,2,2
English,3,2,5,5
English,3,2,5,5
English,3,3,4,5
English,2,2,2,2
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,1,1,1,1
English,4,3,1,2
English,3,2,3,4
English,3,5,4,2
English,3,4,4,2
English,4,3,3,6
English,4,3,4,4
English,3,4,4,3
English,3,2,1,2
English,3,3,4,4
English,2,3,2,2
English,0,0,0,0
English,4,3,3,2
English,4,3,4,5
English,4,3,5,4
English,2,3,3,2
English,1,1,2,2
English,3,2,3,3
English,5,3,3,4
English,5,3,4,3
English,3,3,5,4
English,3,4,5,5
English,2,2,3,3
English,1,2,2,1
English,2,1,1,2
English,4,3,2,2
English,4,2,5,8
English,2,2,2,2
English,2,1,2,3
English,1,1,1,1
English,4,2,4,4
English,2,1,1,2
English,1,1,1,1
English,4,2,4,6
English,5,2,2,4
English,4,3,3,4
English,3,3,4,3
English,0,0,0,0
English,2,2,2,3
English,2,3,7,5
English,3,5,4,4
English,2,2,3,3
English,3,3,3,3
English,4,3,3,6
English,4,5,3,3
English,3,3,3,3
English,3,2,3,4
English,3,2,5,7
English,3,2,4,4
English,4,3,2,2
English,2,1,1,2
English,4,3,4,6
English,2,2,1,1
English,4,2,4,4
English,5,5,4,3
English,3,2,2,3
English,3,3,2,3
English,5,3,4,6
English,4,4,1,1
English,5,3,3,6
English,3,2,1,2
English,3,2,5,5
English,3,3,4,5
English,4,3,3,4
English,2,2,2,2
English,4,3,4,5
English,4,4,5,3
English,0,0,0,0
English,3,3,4,5
English,3,2,7,6
English,2,2,3,3
English,6,3,2,3
English,3,3,4,3
English,6,3,3,4
English,4,3,5,3
English,4,5,3,3
English,5,3,3,4
English,4,4,3,2
English,5,3,5,4
English,3,2,4,3
English,3,3,3,3
English,3,2,6,6
English,0,0,0,0
English,4,2,2,3
English,4,4,3,3
English,0,0,0,0
English,0,0,0,0
English,0,0,0,0
English,3,2,5,8
English,3,3,3,5
English,2,1,2,3
English,4,3,2,3
English,0,0,0,0
English,4,2,4,3
English,5,4,5,5
English,3,3,2,2
English,4,5,4,5
English,3,2,5,4
English,3,2,2,2
English,3,3,1,1
English,4,2,2,4
English,3,4,5,3
English,5,4,2,3
English,4,4,3,3
English,3,3,3,2
English,4,2,5,8
English,4,2,5,7
English,3,1,1,3
English,0,0,0,0
English,3,1,2,4
English,0,0,0,0
English,4,2,3,5
English,1,2,4,2
English,1,1,1,1
English,1,1,1,1
English,3,4,3,4
English,4,2,4,5
English,1,1,1,1
English,4,4,3,3
English,2,1,2,3
