language,arity,depth
English,3,3
English,4,4
English,4,2
English,6,3
English,3,5
English,4,2
English,3,1
English,3,4
English,1,1
English,4,4
English,3,2
English,3,2
English,3,5
English,3,5
English,3,4
English,2,2
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,1,1
English,4,1
English,3,3
English,3,4
English,3,4
English,4,3
English,4,4
English,3,4
English,3,1
English,3,4
English,2,2
English,0,0
English,4,3
English,4,4
English,4,5
English,2,3
English,1,2
English,3,3
English,5,3
English,5,4
English,3,5
English,3,5
English,2,3
English,1,2
English,2,1
English,4,2
English,4,5
English,2,2
English,2,2
English,1,1
English,4,4
English,2,1
English,1,1
English,4,4
English,5,2
English,4,3
English,3,4
English,0,0
English,2,2
English,2,7
English,3,4
English,2,3
English,3,3
English,4,3
English,4,3
English,3,3
English,3,3
English,3,5
English,3,4
English,4,2
English,2,1
English,4,4
English,2,1
English,4,4
English,5,4
English,3,2
English,3,2
English,5,4
English,4,1
English,5,3
English,3,1
English,3,5
English,3,4
English,4,3
English,2,2
English,4,4
English,4,5
English,0,0
English,3,4
English,3,7
English,2,3
English,6,2
English,3,4
English,6,3
English,4,5
English,4,3
English,5,3
English,4,3
English,5,5
English,3,4
English,3,3
English,3,6
English,0,0
English,4,2
English,4,3
English,0,0
English,0,0
English,0,0
English,3,5
English,3,3
English,2,2
English,4,2
English,0,0
English,4,4
English,5,5
English,3,2
English,4,4
English,3,5
English,3,2
English,3,1
English,4,2
English,3,5
English,5,2
English,4,3
English,3,3
English,4,5
English,4,5
English,3,1
English,0,0
English,3,2
English,0,0
English,4,3
English,1,4
English,1,1
English,1,1
English,3,3
English,4,4
English,1,1
English,4,3
English,2,2
English,3,4
English,3,5
English,4,4
English,1,1
English,0,0
English,3,3
English,4,2
English,1,1
English,3,6
English,4,4
English,4,5
English,4,1
English,3,3
English,4,3
English,3,4
English,2,1
English,6,2
English,4,4
English,4,4
English,4,4
English,3,2
English,3,4
English,3,1
English,2,1
English,5,2
English,3,2
English,5,2
English,3,6
English,2,2
English,4,2
English,3,4
English,4,6
English,4,3
English,3,2
English,5,2
English,4,5
English,5,3
English,4,4
English,6,3
English,3,5
English,4,3
English,3,6
English,3,4
English,4,5
English,3,4
English,5,4
English,4,3
English,4,7
English,4,1
English,0,0
English,2,4
English,4,4
English,4,3
English,3,3
English,3,3
English,3,2
English,3,2
English,2,1
English,4,5
English,4,3
English,3,4
English,1,3
English,0,0
English,0,0
English,0,0
English,0,0
English,6,2
English,2,1
English,3,2
English,5,4
English,4,2
English,2,1
English,4,2
English,4,3
English,4,3
English,4,2
English,4,5
English,6,2
English,4,2
English,7,2
English,0,0
English,4,3
English,3,5
English,4,4
English,0,0
English,1,1
English,4,5
English,1,1
English,1,1
English,6,2
English,3,2
English,0,0
English,5,4
English,5,3
English,1,1
English,0,0
English,4,2
English,5,2
English,1,1
English,3,2
English,4,5
English,2,2
English,5,2
English,4,2
English,3,1
English,3,3
English,3,3
English,2,1
English,1,1
English,5,2
English,0,0
English,2,3
English,0,0
English,4,3
English,1,1
English,4,2
English,4,2
English,4,1
English,3,4
English,5,2
English,4,2
English,3,4
English,0,0
English,4,4
English,2,1
English,3,4
English,3,3
English,4,2
English,1,1
English,1,1
English,5,2
English,5,2
English,3,2
English,3,2
English,0,0
English,0,0
English,4,3
English,4,3
English,1,1
English,5,2
English,4,4
English,4,5
English,3,5
English,4,4
English,3,5
English,3,5
English,0,0
English,4,5
English,4,4
English,0,0
English,3,1
English,2,2
English,5,3
English,1,1
English,2,3
English,1,1
English,4,5
English,3,4
English,3,5
English,3,2
English,1,1
English,3,4
English,4,5
English,4,3
English,4,4
English,5,2
English,3,3
English,4,2
English,4,4
English,4,4
English,3,1
English,3,1
English,3,1
English,4,4
English,5,5
English,4,6
English,4,2
English,3,3
English,3,6
English,4,2
English,3,4
English,4,7
English,4,7
English,4,1
English,4,6
English,3,6
English,5,3
English,3,4
English,4,1
English,5,3
English,4,3
English,5,3
English,3,2
English,3,1
English,3,5
English,4,3
English,5,4
English,5,4
English,3,3
English,4,5
English,5,2
English,3,3
English,3,2
English,4,4
English,3,7
English,3,4
English,3,4
English,5,2
English,3,6
English,3,2
English,5,5
English,5,2
English,4,3
English,3,3
English,4,3
English,3,5
English,4,4
English,4,5
English,3,7
English,3,6
English,3,1
English,4,5
English,4,2
English,5,2
English,4,3
English,3,2
English,3,5
English,4,4
English,1,1
English,3,6
English,3,2
English,4,4
English,3,7
English,4,4
English,3,3
English,3,4
English,3,5
English,6,2
English,4,2
English,3,1
English,5,3
English,3,4
English,4,4
English,4,3
English,4,4
English,4,4
English,4,2
English,3,3
English,3,2
English,2,1
English,6,2
English,5,2
English,4,3
English,6,4
English,4,5
English,4,2
English,4,3
English,4,3
English,5,2
English,1,1
English,4,3
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,3,3
English,3,3
English,1,2
English,1,1
English,0,0
English,2,2
English,1,1
English,0,0
English,1,1
English,3,4
English,4,3
English,1,1
English,1,1
English,4,6
English,2,1
English,0,0
English,4,2
English,0,0
English,1,1
English,2,2
English,3,4
English,0,0
English,4,2
English,0,0
English,0,0
English,0,0
English,4,3
English,1,1
English,3,3
English,2,1
English,1,1
English,0,0
English,1,1
English,2,2
English,3,2
English,0,0
English,1,1
English,2,1
English,3,3
English,3,3
English,0,0
English,1,1
English,1,1
English,4,4
English,0,0
English,1,1
English,2,4
English,5,2
English,0,0
English,1,1
English,1,1
English,2,2
English,4,2
English,1,1
English,1,1
English,3,3
English,2,1
English,3,5
English,4,2
English,2,4
English,3,2
English,3,5
English,2,1
English,4,2
English,3,5
English,4,2
English,4,2
English,2,1
English,4,2
English,3,5
English,4,2
English,4,3
English,2,6
English,3,1
English,3,2
English,0,0
English,1,1
English,3,5
English,2,3
English,4,3
English,2,6
English,3,1
English,3,2
English,0,0
English,2,1
English,3,5
English,3,3
English,1,1
English,3,3
English,4,4
English,1,1
English,3,3
English,3,5
English,1,1
English,2,2
English,2,2
English,3,2
English,2,1
English,2,2
English,1,2
English,1,2
English,2,1
English,2,2
English,1,2
English,1,2
English,3,3
English,3,2
English,3,2
English,3,2
English,3,2
English,3,2
English,3,3
English,0,0
English,3,7
English,3,3
English,0,0
English,1,1
English,1,2
English,4,3
English,1,2
English,3,4
English,2,4
English,5,4
English,3,4
English,4,4
English,5,4
English,3,1
English,5,2
English,1,1
English,0,0
English,4,2
English,5,2
English,0,0
English,1,1
English,1,1
English,0,0
English,4,2
English,4,5
English,4,2
English,5,2
English,3,2
English,3,4
English,4,4
English,3,4
English,3,3
English,4,7
English,3,3
English,2,2
English,2,4
English,4,4
English,3,3
English,2,2
English,3,3
English,3,5
English,2,2
English,4,4
English,4,4
English,3,3
English,2,2
English,2,2
English,3,5
English,2,4
English,5,4
English,3,1
English,5,2
English,1,1
English,0,0
English,4,2
English,5,2
English,0,0
English,1,1
English,1,1
English,0,0
English,1,1
English,1,1
English,3,4
English,4,5
English,4,4
English,3,4
English,3,2
English,3,7
English,3,3
English,4,3
English,3,2
English,0,0
English,3,3
English,4,4
English,2,3
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,0,0
English,3,2
English,1,1
English,0,0
English,3,2
English,2,1
English,1,2
English,3,2
English,1,1
English,1,2
English,2,3
English,2,1
English,4,2
English,0,0
English,2,1
English,1,2
English,0,0
English,3,6
English,0,0
English,4,2
English,0,0
